"""Exception in thread """"main"""" java.lang.ArithmeticException: / by zero at ArithmeticExceptionExamples.main(ArithmeticExceptionExamples.java:5)""",JavaError
"""<Feb 9, 2017 8:54:30 AM MST> <Error> <HTTP> <BEA-101017> <[weblogic.servlet.internal.WebAppServletContext@1ab74ad2  Exception in thread """"main"""" java.lang.ArithmeticException: / by zero at DivideByZeroNoExceptionHandling.quotient(DivideByZeroNoExceptionHandling.java:10)""",JavaError
"""java.lang.ArithmeticException: / by zero at DivideByZeroNoExceptionHandling.quotient(DivideByZeroNoExceptionHandling.java:10)""",JavaError
"""09:54:44.565 [main] ERROR Log4jtest.MathClass - java.lang.ArithmeticException: / by zero""",JavaError
"""Exception in thread """"main"""" java.lang.ArrayIndexOutOfBoundsException: X  at Exceptions.Unchecked_Demo.main(Unchecked_Demo.java:8)""",JavaError
"""java.lang.ArrayIndexOutOfBoundsException: 10 at wasdev.sample.servlet.SimpleServlet.arrayIndexException(SimpleServlet.java:77)""",JavaError
"""Exception in thread """"main"""" java.lang.ArrayIndexOutOfBoundsException: 0 at beginner.HelloWorldApp.main(HelloWorldApp.java:21)""",JavaError
"""Exception in thread """"main"""" java.lang.ArrayIndexOutOfBoundsException: 1 at beginner.HelloWorldApp.main(HelloWorldApp.java:17)""",JavaError
"""Exception in thread """"main"""" java.lang.ClassCastException: java.lang.String cannot be cast to java.lang.Integer at test.ClassCastExcetpionTest.main(ClassCastExcetpionTest.java:31)""",JavaError
"""java ClassCastExceptionTest java.lang.ClassCastException: java.lang.String incompatible with java.lang.Integer at ClassCastExceptionTest.storeItem(ClassCastExceptionTest.java:6)""",JavaError
"""<Feb 9, 2017 8:54:30 AM MST> <Error> <HTTP> <BEA-101017> <[weblogic.servlet.internal.WebAppServletContext@1ab74ad2  java ClassCastExceptionTest java.lang.ClassCastException: java.lang.String incompatible with java.lang.Integer at ClassCastExceptionTest.storeItem(ClassCastExceptionTest.java:6)""",JavaError
"""09:54:44.565 [main] ERROR java ClassCastExceptionTest java.lang.ClassCastException: java.lang.String incompatible with java.lang.Integer at ClassCastExceptionTest.storeItem(ClassCastExceptionTest.java:6)""",JavaError
"""<Feb 9, 2017 8:54:30 AM MST> <Error> <HTTP> <BEA-101017> <[weblogic.servlet.internal.WebAppServletContext@1ab74ad2  Root cause of ServletException.java.lang.NullPointerException at com.qwest.odm.odm.web.actions.SearchDisputeAction.handleException(SearchDisputeAction.java:669)""",JavaError
"""Exception in thread """"main"""" java.lang.NullPointerException at Test.main(Test.java:4)""",JavaError
"""java.lang.NullPointerException at org.slf4j.impl.Log4jLoggerAdapter.info(Log4jLoggerAdapter.java:304)""",JavaError
"""09:54:44.565 [main] ERROR  Exception in thread """"main"""" java.lang.NullPointerException at java.io.Writer.write(Writer.java:157)""",JavaError
"""Exception in thread """"main"""" java.lang.StringIndexOutOfBoundsException: String index out of range: 50 at java.lang.String.charAt(String.java:646)""",JavaError
"""<Oct 4, 2016 1:02:35 AM CDT> <Warning> <EJB>  <The EJB 'QWSProperties(Application: rtici, EJBComponent: QwsProperties.jar)' contains at least one method without an explicit transaction attribute setting. The default transaction attribute of Supports will be used for the following methods: home[findByPrimaryKey(java.lang.String), create(java.lang.String,java.lang.String), remove(java.lang.Object), remove(javax.ejb.Handle)]  remote[remove(), value(), updateProperty(java.lang.String), property(), getPropertiesObject()]  > """,JavaWarning
"""<Oct 4, 2016 1:02:35 AM CDT> <Warning> <EJB>  <The EJB 'QWSProperties(Application: rtici, EJBComponent: QwsProperties.jar)' contains at least one method without an explicit transaction attribute setting. The default transaction attribute of Supports will be used for the following methods: home[findByPrimaryKey(java.lang.String), create(java.lang.String,java.lang.String), remove(java.lang.Object), remove(javax.ejb.Handle)]  remote[remove(), value(), updateProperty(java.lang.String), property(), getPropertiesObject()]  > """,JavaWarning
"""<Oct 4, 2016 1:02:38 AM CDT> <Error> <HTTP> ExecuteThread: '0' for queue: 'weblogic.kernel.Default (self-tuning)'> <<WLS Kernel>> <> <> <1475560958927> <BEA-101188> <Bad exception-type exists in web.xml: weblogic.soap.FaultException.> """,JavaError
"""<Oct 4, 2016 1:02:35 AM CDT> <Warning> <EJB>  <The EJB 'QWSProperties(Application: rtici, EJBComponent: QwsProperties.jar)' contains at least one method without an explicit transaction attribute setting. The default transaction attribute of Supports will be used for the following methods: home[findByPrimaryKey(java.lang.String), create(java.lang.String,java.lang.String), remove(java.lang.Object), remove(javax.ejb.Handle)]  remote[remove(), value(), updateProperty(java.lang.String), property(), getPropertiesObject()]  > """,JavaWarning
"""<Oct 4, 2016 1:02:35 AM CDT> <Warning> <EJB>  <The EJB 'QWSProperties(Application: rtici, EJBComponent: QwsProperties.jar)' contains at least one method without an explicit transaction attribute setting. The default transaction attribute of Supports will be used for the following methods: home[findByPrimaryKey(java.lang.String), create(java.lang.String,java.lang.String), remove(java.lang.Object), remove(javax.ejb.Handle)]  remote[remove(), value(), updateProperty(java.lang.String), property(), getPropertiesObject()]  > """,JavaWarning
